,constituency,eligible_voters,line,num_candidates,state,valid_votes,votes_cast,candidate,party,percent,votes
0,Kanbalu-1,55029.0,1018.0,5.0,Sagaing,36681.0,42683.0,Thein Pe,Independent,47,17364
1,Kanbalu-1,55029.0,1018.0,5.0,Sagaing,36681.0,42683.0,Aye Kha,NLD,28,10120
2,Kanbalu-1,55029.0,1018.0,5.0,Sagaing,36681.0,42683.0,Win Maung,YUO,21,7806
0,Kanbalu-2,55285.0,1027.0,7.0,Sagaing,40390.0,46253.0,Myint Naing,NLD,76,30628
1,Kanbalu-2,55285.0,1027.0,7.0,Sagaing,40390.0,46253.0,Tin Hla,NUP,19,7768
0,Shwebo-1,67433.0,1031.0,4.0,Sagaing,50613.0,54321.0,Dr. Aung Bo,NLD,62,31270
1,Shwebo-1,67433.0,1031.0,4.0,Sagaing,50613.0,54321.0,Brig-Gen Than Nyunt,PUO,33,16769
0,Shwebo-2,68208.0,1035.0,5.0,Sagaing,53231.0,57097.0,Than Tun,NLD,69,36958
1,Shwebo-2,68208.0,1035.0,5.0,Sagaing,53231.0,57097.0,Maj. Aung Than,NUP,22,11631
0,Khin-U-1,35924.0,1039.0,4.0,Sagaing,22642.0,26580.0,Khin Maung Thein,NLD,68,15367
1,Khin-U-1,35924.0,1039.0,4.0,Sagaing,22642.0,26580.0,Kan Gyi,NUP,21,4803
0,Khin-U-2,35512.0,1043.0,3.0,Sagaing,23711.0,27892.0,Thaung Myint,NLD,60,14267
1,Khin-U-2,35512.0,1043.0,3.0,Sagaing,23711.0,27892.0,Khin Maung Thein,NUP,23,5299
2,Khin-U-2,35512.0,1043.0,3.0,Sagaing,23711.0,27892.0,Tin Win,LDP,17,4145
0,Gyobingauk-2,33672.0,1053.0,5.0,Bago,19857.0,23528.0,Aye,NLD,55,11008
1,Gyobingauk-2,33672.0,1053.0,5.0,Bago,19857.0,23528.0,Nyunt Shein,NUP,37,7275
0,Kya-in-Seikkyi-1,11265.0,1057.0,2.0,Kayin,2861.0,3879.0,Hla Maung,POCL,72,2054
1,Kya-in-Seikkyi-1,11265.0,1057.0,2.0,Kayin,2861.0,3879.0,Saw Kyaw Sein,YUO,28,807
0,Kya-in-Seikkyi-2,11157.0,1062.0,4.0,Kayin,3563.0,4424.0,Kyin Thein,NLD,67,2398
1,Kya-in-Seikkyi-2,11157.0,1062.0,4.0,Kayin,3563.0,4424.0,Saw Ba Lwin,NUP,21,756
2,Kya-in-Seikkyi-2,11157.0,1062.0,4.0,Kayin,3563.0,4424.0,Nai Tun Pa,MNDF,10,341
0,Papun-1,7840.0,1070.0,3.0,Kayin,4129.0,4554.0,Aung Than,NLD,62,2574
1,Papun-1,7840.0,1070.0,3.0,Kayin,4129.0,4554.0,Aye Thein,NUP,35,1458
0,Papun-2,2210.0,1074.0,2.0,Kayin,825.0,897.0,Ba Aye,NLD,63,516
1,Papun-2,2210.0,1074.0,2.0,Kayin,825.0,897.0,Saw Ba Ni,NUP,37,309
